Data,Indicador,Valor
2012-10-01,SELIC,0.61
2012-11-01,IPCA,0.6
2012-11-01,SELIC,0.55
2012-12-01,IPCA,0.79
2012-12-01,SELIC,0.55
2013-01-01,IPCA,0.86
2013-01-01,SELIC,0.6
2013-02-01,IPCA,0.6
2013-02-01,SELIC,0.49
2013-03-01,IPCA,0.47
2013-03-01,SELIC,0.55
2013-04-01,IPCA,0.55
2013-04-01,SELIC,0.61
2013-05-01,IPCA,0.37
2013-05-01,SELIC,0.6
2013-06-01,IPCA,0.26
2013-06-01,SELIC,0.61
2013-07-01,IPCA,0.03
2013-07-01,SELIC,0.72
2013-08-01,IPCA,0.24
2013-08-01,SELIC,0.71
2013-09-01,IPCA,0.35
2013-09-01,SELIC,0.71
2013-10-01,IPCA,0.57
2013-10-01,SELIC,0.81
2013-11-01,IPCA,0.54
2013-11-01,SELIC,0.72
2013-12-01,IPCA,0.92
2013-12-01,SELIC,0.79
2014-01-01,IPCA,0.55
2014-01-01,SELIC,0.85
2014-02-01,IPCA,0.69
2014-02-01,SELIC,0.79
2014-03-01,IPCA,0.92
2014-03-01,SELIC,0.77
2014-04-01,IPCA,0.67
2014-04-01,SELIC,0.82
2014-05-01,IPCA,0.46
2014-05-01,SELIC,0.87
2014-06-01,IPCA,0.4
2014-06-01,SELIC,0.82
2014-07-01,IPCA,0.01
2014-07-01,SELIC,0.95
2014-08-01,IPCA,0.25
2014-08-01,SELIC,0.87
2014-09-01,IPCA,0.57
2014-09-01,SELIC,0.91
2014-10-01,IPCA,0.42
2014-10-01,SELIC,0.95
2014-11-01,IPCA,0.51
2014-11-01,SELIC,0.84
2014-12-01,IPCA,0.78
2014-12-01,SELIC,0.96
2015-01-01,IPCA,1.24
2015-01-01,SELIC,0.94
2015-02-01,IPCA,1.22
2015-02-01,SELIC,0.82
2015-03-01,IPCA,1.32
2015-03-01,SELIC,1.04
2015-04-01,IPCA,0.71
2015-04-01,SELIC,0.95
2015-05-01,IPCA,0.74
2015-05-01,SELIC,0.99
2015-06-01,IPCA,0.79
2015-06-01,SELIC,1.07
2015-07-01,IPCA,0.62
2015-07-01,SELIC,1.18
2015-08-01,IPCA,0.22
2015-08-01,SELIC,1.11
2015-09-01,IPCA,0.54
2015-09-01,SELIC,1.11
2015-10-01,IPCA,0.82
2015-10-01,SELIC,1.11
2015-11-01,IPCA,1.01
2015-11-01,SELIC,1.06
2015-12-01,IPCA,0.96
2015-12-01,SELIC,1.16
2016-01-01,IPCA,1.27
2016-01-01,SELIC,1.06
2016-02-01,IPCA,0.9
2016-02-01,SELIC,1
2016-03-01,IPCA,0.43
2016-03-01,SELIC,1.16
2016-04-01,IPCA,0.61
2016-04-01,SELIC,1.06
2016-05-01,IPCA,0.78
2016-05-01,SELIC,1.11
2016-06-01,IPCA,0.35
